property_type,room_type,accommodates,bedrooms,price,number_of_reviews,review_scores_rating,calculated_host_listings_count,availability_30,minimum_nights,latitude,longitude,district
5,0,4,1.0,74.0,159,4.82,2,11,6,41.68451,-87.67925,56
5,0,4,1.0,93.0,55,4.74,2,20,2,41.81076119906218,-87.6044862089418,44
5,0,4,1.0,84.0,154,4.79,2,24,5,41.68451,-87.67913,56
12,0,4,2.0,200.0,8,4.57,74,29,60,41.85247,-87.62204,58
25,2,2,2.0811539071168172,45.0,29,4.79,2,0,32,41.9443,-87.79831,22
11,0,4,1.0,135.0,7,4.67,74,30,32,41.85434,-87.62194,58
11,0,2,1.0,155.0,5,5.0,74,30,100,41.89098,-87.62238,80
11,0,2,1.0,84.0,161,4.91,3,0,32,41.89288,-87.68458,91
11,0,5,2.0,185.0,229,4.91,2,9,2,41.90026,-87.66871,24
23,2,1,2.0811539071168172,136.0,74,4.92,1,10,6,41.88445,-87.65146,88
25,2,2,2.0811539071168172,39.0,341,4.84,2,16,1,41.78225,-87.72806,87
3,0,2,2.0,75.0,245,4.84,1,13,32,41.77206,-87.56982,79
11,0,3,1.0,103.0,456,4.83,1,3,2,41.91571,-87.67449,14
11,0,4,2.0,160.0,146,4.94,1,12,3,41.96136,-87.6784,60
11,0,4,2.0,282.0,126,4.71,6,8,2,41.91533279418945,-87.67047882080078,14
11,0,2,1.0,130.0,46,4.91,1,30,32,42.00729,-87.67708,72
7,0,16,6.0,1350.0,82,4.89,10,30,1,41.91634,-87.69335,50
11,0,4,1.0,89.0,361,4.93,1,4,2,41.98908,-87.66697,25
7,0,8,3.0,381.0,237,4.95,2,15,2,41.94278,-87.65621,45
11,0,5,2.0,299.0,113,4.88,2,24,2,41.88711,-87.6438,88
3,0,4,2.0,113.0,131,4.9,1,20,3,41.88367,-87.70864,31
11,0,5,2.0,195.0,189,4.8,1,11,32,41.93594,-87.66953,45
29,2,1,2.0811539071168172,75.0,179,4.88,1,21,32,41.94159,-87.65099,45
25,2,1,2.0811539071168172,35.0,6,4.17,2,12,32,41.94418,-87.79895,22
20,2,1,2.0811539071168172,75.0,41,4.98,3,0,10,42.00146,-87.66982,72
23,2,3,2.0811539071168172,112.0,180,4.49,2,0,32,41.90788,-87.68075,92
29,2,2,2.0811539071168172,78.0,403,4.97,1,12,1,41.79963,-87.59186,41
11,0,2,1.0,104.0,156,4.74,4,0,32,41.93047,-87.7196,50
29,2,1,2.0811539071168172,43.0,46,4.84,3,6,20,41.99103,-87.66166,25
5,0,4,2.0,132.0,133,4.85,1,24,32,41.93699,-87.68341,60
3,0,2,1.0,69.0,46,4.78,1,0,32,41.95965,-87.72016,42
5,0,4,1.0,65.0,5,4.4,1,0,32,41.99595,-87.67545,90
11,0,2,2.0811539071168172,170.0,14,4.92,74,30,90,41.88853,-87.63399,70
20,2,2,2.0811539071168172,68.0,69,4.84,2,19,2,42.0222,-87.67226,72
46,3,1,2.0811539071168172,20.0,154,4.79,15,18,1,42.0168,-87.68771,90
7,0,3,1.0,111.0,75,4.83,1,0,3,41.83615,-87.64638,12
11,0,6,2.0,131.0,361,4.87,1,19,32,41.898048,-87.702972,40
20,2,1,2.0811539071168172,55.0,8,5.0,1,6,32,41.877,-87.63055,51
11,0,3,1.0,257.0,102,4.98,3,26,32,41.90173,-87.67359,24
25,2,2,2.0811539071168172,39.0,487,4.81,2,11,1,41.78392,-87.72921,87
3,0,4,2.0,200.0,52,4.8,1,0,4,41.97351,-87.66574,83
3,0,2,1.0,125.0,37,4.58,3,0,32,41.89637,-87.62726,74
29,2,1,2.0811539071168172,133.0,8,4.88,6,24,5,41.8198,-87.61423,34
25,2,1,2.0811539071168172,95.0,30,4.7,4,29,5,41.94306,-87.79432,22
11,0,1,1.0,110.0,1,5.0,1,0,32,41.89874,-87.61862,80
7,0,6,3.0,198.0,181,4.8,2,6,1,41.91374,-87.64014,66
9,0,6,2.0,136.0,125,4.78,1,20,32,41.88503,-87.68664,82
7,0,4,2.0,140.0,318,4.9,1,3,2,41.95669,-87.64847,83
3,0,4,1.0,135.0,3,5.0,1,0,32,41.9011,-87.69184,81
29,2,2,2.0811539071168172,79.0,21,4.71,2,0,32,41.9391,-87.64573,45
11,0,4,2.0,132.0,32,4.86,2,0,32,41.94047,-87.64578,11
25,2,1,1.0,105.0,129,4.81,3,20,2,41.84828,-87.68021,52
11,0,3,1.0,105.0,337,4.87,1,0,32,41.90384,-87.66765,92
11,0,4,2.0,150.0,3,5.0,1,29,32,41.80392,-87.6108,34
29,2,2,2.0811539071168172,71.0,32,4.61,2,26,32,41.96264,-87.67296,83
11,0,1,1.0,42.0,210,4.96,1,19,75,41.99701,-87.66099,25
11,0,2,1.0,126.0,468,4.72,1,6,2,41.94987,-87.64611,45
3,0,4,2.0,242.0,156,4.98,1,8,2,41.96705,-87.65772,83
29,2,2,2.0811539071168172,61.0,144,4.94,1,6,2,41.95107,-87.71005,42
3,0,3,1.0,159.0,40,4.83,1,0,3,41.87346,-87.62843,68
20,2,2,2.0811539071168172,96.0,379,4.97,2,3,1,41.94124,-87.64941,45
7,0,4,2.0,250.0,52,4.94,1,14,7,41.9254,-87.69753,50
20,2,1,2.0811539071168172,65.0,70,4.96,2,5,3,41.99632,-87.66385,25
11,0,1,1.0,121.0,19,4.84,6,24,5,41.81873,-87.61387,34
29,2,1,2.0811539071168172,137.0,11,4.82,6,25,5,41.81793,-87.61291,34
46,3,1,2.0811539071168172,21.0,110,4.73,15,2,1,42.01653,-87.68788,90
11,0,7,2.0,295.0,96,4.6,1,28,32,41.90487,-87.62747,33
25,2,2,2.0811539071168172,100.0,36,5.0,1,0,3,41.95518,-87.66999,45
29,2,1,2.0811539071168172,50.0,23,4.87,1,0,25,41.96114,-87.70514,42
11,0,4,3.0,199.0,89,4.98,1,0,2,41.95931,-87.67795,60
11,0,2,1.0,85.0,8,4.86,11,0,32,41.90317,-87.63392,70
25,2,1,1.0,33.0,11,4.55,1,9,32,41.85565,-87.63322,19
29,2,3,2.0811539071168172,107.0,131,4.64,1,30,32,41.95501,-87.73814,42
32,2,4,2.0811539071168172,100.0,131,4.95,1,16,1,41.96574,-87.65747,83
3,0,8,2.0,233.0,307,4.61,5,27,32,41.9116,-87.66693,91
11,0,4,2.0,99.0,160,4.79,1,0,32,41.90376,-87.69556,40
11,0,4,2.0,164.0,76,4.81,1,11,2,41.95904,-87.64822,83
27,2,2,1.0,100.0,29,4.86,1,30,32,41.900188,-87.661751,91
25,2,3,2.0811539071168172,59.0,115,4.82,2,15,3,41.92125,-87.70158,50
25,2,3,2.0811539071168172,57.0,76,4.86,2,8,3,41.92286,-87.70154,50
11,0,3,1.0,105.0,65,5.0,1,0,32,41.94207,-87.64757,11
27,2,2,1.0,149.0,68,4.81,3,27,32,41.90992,-87.67521,92
34,1,4,2.0,436.0,90,4.93,11,27,3,41.97106,-87.66777,83
6,0,2,1.0,135.0,154,4.76,1,20,32,41.90596,-87.67569,92
12,0,6,3.0,575.0,28,4.89,11,22,3,41.97095,-87.66798,83
36,2,2,1.0,302.0,38,4.97,11,11,3,41.97106,-87.66777,83
20,2,2,2.0811539071168172,120.0,308,4.92,1,6,2,41.91233,-87.65146,46
29,2,2,2.0811539071168172,70.0,250,4.72,3,2,1,41.90637,-87.68954,92
11,0,4,1.0,121.0,29,4.38,2,30,32,41.80944,-87.61664,34
25,2,1,2.0811539071168172,50.0,7,4.57,1,0,32,41.687,-87.6076,69
3,0,3,1.0,146.0,24,4.67,2,30,32,41.81214,-87.61328,34
11,0,4,2.0,275.0,345,4.98,2,3,2,41.89295,-87.62217,80
20,2,2,2.0811539071168172,77.0,234,4.85,5,4,1,41.89492,-87.65926,91
25,2,3,2.0811539071168172,114.0,190,4.92,1,11,32,41.89998,-87.69244,40
7,0,4,3.0,175.0,6,5.0,1,0,32,41.92026,-87.67979,14
3,0,8,3.0,5000.0,0,4.739273018648019,1,29,32,41.8911,-87.66947,91
20,2,2,2.0811539071168172,55.0,177,4.89,2,0,32,41.90451,-87.67943,92
20,2,2,2.0811539071168172,70.0,276,4.91,2,4,32,41.90434,-87.67967,92
11,0,2,1.0,150.0,449,4.89,3,8,2,41.89329,-87.68574,91
13,0,2,1.0,179.0,73,4.92,3,30,30,41.89053,-87.68084,91
3,0,4,2.0,170.0,225,4.91,1,6,3,41.90168,-87.693,40
29,2,2,2.0811539071168172,25.0,155,4.58,3,14,32,41.85707,-87.67082,52
25,2,1,2.0811539071168172,79.0,216,4.9,3,4,3,41.79857,-87.59814,41
11,0,2,2.0,90.0,33,4.75,2,29,50,41.86971,-87.65939,48
27,2,2,1.0,159.0,53,4.6,3,29,32,41.9086,-87.67684,92
11,0,8,3.0,244.0,117,4.84,1,9,3,41.89558,-87.66585,91
3,0,2,1.0,193.0,220,4.98,1,10,2,41.92723,-87.70807,50
25,2,10,2.0811539071168172,120.0,102,4.44,8,30,32,41.76477,-87.57182,79
6,0,7,2.0,239.0,236,4.88,2,18,2,41.92032,-87.66153,46
11,0,6,2.0,238.0,236,4.88,2,19,2,41.92061,-87.66324,46
3,0,6,2.0,279.0,129,4.97,1,1,3,41.89738,-87.67208,24
18,2,2,2.0811539071168172,30.0,59,4.56,8,0,32,41.76302,-87.57186,79
18,2,4,2.0811539071168172,30.0,37,4.84,8,30,32,41.76257,-87.57225,79
7,0,6,3.0,500.0,38,4.95,1,0,32,41.92693,-87.71266,50
20,2,2,2.0811539071168172,125.0,196,4.94,1,20,3,41.97188,-87.65779,83
3,0,8,3.0,143.0,80,4.78,1,11,32,41.98658,-87.69528,90
29,2,1,2.0811539071168172,45.0,29,4.93,7,14,22,41.85253,-87.69803,49
29,2,1,2.0811539071168172,50.0,26,4.81,7,19,24,41.8544,-87.69845,49
29,2,1,2.0811539071168172,77.0,23,4.87,7,18,4,41.85436,-87.69681,49
29,2,1,2.0811539071168172,72.0,17,4.94,7,19,7,41.85276,-87.69828,49
29,2,1,2.0811539071168172,49.0,26,4.69,7,19,4,41.85442,-87.69695,49
29,2,2,2.0811539071168172,50.0,221,4.55,1,17,2,41.91775,-87.65508,46
25,2,8,2.0811539071168172,135.0,33,4.97,1,29,2,41.81436,-87.61289,34
11,0,10,3.0,92.0,488,4.85,1,16,1,41.87669,-87.72146,31
11,0,4,2.0811539071168172,70.0,191,4.66,2,5,3,41.8867,-87.70783,31
9,0,2,1.0,214.0,31,4.84,3,0,32,41.88987,-87.68237,91
20,2,2,2.0811539071168172,99.0,304,4.9,1,13,2,41.93955,-87.65904,45
11,0,4,2.0,180.0,8,4.0,74,0,32,41.89862,-87.62138,80
11,0,3,2.0,185.0,0,4.739273018648019,74,30,360,41.88668,-87.64266,88
29,2,1,2.0811539071168172,40.0,61,4.73,2,27,10,41.93483,-87.74135,39
27,2,2,1.0,169.0,43,4.63,3,23,1,41.90943908691406,-87.6762924194336,92
5,0,2,1.0,52.0,155,4.63,1,12,2,41.82983,-87.67544,54
25,2,2,2.0811539071168172,86.0,301,4.86,1,4,32,41.83674,-87.62086,21
11,0,4,2.0,200.0,3,5.0,74,30,360,41.87132,-87.63146,51
46,3,2,2.0811539071168172,19.0,174,4.75,15,28,1,42.01653,-87.68788,90
11,0,8,3.0,253.0,36,4.94,23,20,2,41.94614,-87.68242,60
36,2,2,2.0,302.0,6,4.67,11,11,3,41.97183,-87.66786,83
34,2,4,2.0,436.0,20,4.85,11,27,3,41.97106,-87.66777,83
11,0,5,2.0,141.0,373,4.83,1,10,2,41.93886,-87.65391,45
25,2,4,2.0811539071168172,86.0,474,4.96,1,1,2,41.94815,-87.68459,60
11,0,3,2.0,90.0,16,4.63,6,5,32,41.95993,-87.74773,67
9,0,3,2.0,279.0,46,4.67,1,30,32,41.88796,-87.6445,88
11,0,8,3.0,248.0,39,4.72,23,26,2,41.94078,-87.68115,60
29,2,2,2.0811539071168172,85.0,153,4.41,1,0,32,41.94165,-87.71665,8
11,0,6,2.0,59.0,314,4.65,2,22,1,41.908515,-87.709857,40
25,2,2,2.0811539071168172,125.0,26,4.62,4,29,5,41.94222259521485,-87.79497528076172,22
11,0,2,2.0811539071168172,91.0,220,4.84,1,13,3,41.96857,-87.69577,47
2,0,3,2.0,99.0,42,4.79,6,30,32,41.65064,-87.54074,38
32,2,2,2.0811539071168172,79.0,180,4.94,1,4,2,41.94812,-87.68333,60
11,0,2,1.0,144.0,65,4.82,1,0,32,41.89972,-87.69722,40
11,0,4,2.0,143.0,81,4.7,2,18,2,41.95185,-87.70459,42
11,0,2,1.0,141.0,9,5.0,1,5,2,41.89224868090286,-87.67495972350929,91
3,0,4,2.0,150.0,25,4.92,1,0,32,41.86156,-87.64676,48
11,0,2,1.0,69.0,8,5.0,1,0,32,41.95533,-87.73082,42
11,0,8,3.0,225.0,317,4.91,24,10,2,41.8948,-87.65661,91
11,0,3,2.0,99.0,16,4.31,6,29,32,41.95965,-87.74889,67
11,0,6,2.0,149.0,192,4.82,2,11,32,41.8972,-87.63442,70
7,0,2,1.0,82.0,28,5.0,1,0,32,42.00651,-87.68432,90
25,2,1,2.0811539071168172,68.0,53,4.78,2,19,3,41.84998,-87.67714,52
11,0,6,3.0,153.0,251,4.9,1,13,2,41.93395,-87.71078,8
11,0,4,2.0,180.0,13,4.92,74,30,90,41.88581,-87.61744,51
11,0,6,2.0,150.0,221,4.81,3,23,32,41.84883,-87.63256,19
9,0,4,2.0,144.0,588,4.86,3,7,5,41.89867,-87.67012,24
11,0,6,2.0,235.0,85,4.6,23,19,2,41.91268,-87.63895,66
11,0,6,2.0,210.0,65,4.83,23,28,2,41.94342,-87.68121,60
11,0,6,2.0,259.0,81,4.79,23,16,2,41.91285,-87.63864,66
11,0,6,2.0,276.0,74,4.81,23,17,2,41.91285,-87.63864,66
11,0,8,3.0,259.0,51,4.71,23,13,2,41.94078,-87.68115,60
25,2,1,2.0811539071168172,62.0,27,4.79,2,8,3,41.84827,-87.676,52
9,0,2,1.0,302.0,197,4.97,2,6,3,41.90223,-87.67265,24
20,2,3,2.0811539071168172,60.0,124,4.93,1,5,2,41.77555,-87.59546,93
11,0,2,2.0811539071168172,83.0,455,4.86,1,6,2,41.9305,-87.70307,50
5,0,4,1.0,96.0,336,4.97,1,10,2,41.97104,-87.69654,47
20,2,3,2.0811539071168172,88.0,177,4.98,2,5,2,41.97186,-87.69521,47
3,0,4,2.0,428.0,46,4.86,2,0,2,41.94331,-87.6486,11
11,0,2,1.0,85.0,72,4.94,2,0,32,41.90409,-87.63316,66
11,0,4,2.0,115.0,440,4.91,3,3,2,41.92445304589874,-87.70270598989589,50
11,0,3,1.0,199.0,11,5.0,1,0,32,41.93969,-87.64367,45
25,2,2,2.0811539071168172,95.0,5,4.8,4,29,5,41.94201,-87.79608,22
11,0,6,2.0,214.0,35,4.69,23,25,2,41.94099,-87.68047,60
11,0,8,3.0,264.0,56,4.66,23,19,2,41.94072,-87.68115,60
11,0,8,3.0,265.0,58,4.66,23,15,2,41.94072,-87.68115,60
3,0,4,2.0,159.0,125,4.82,4,5,2,41.78355,-87.61363,93
29,2,2,2.0811539071168172,125.0,147,4.95,1,0,32,41.97044,-87.65735,83
11,0,7,2.0,181.0,137,4.91,1,14,2,41.8555,-87.64535,52
32,2,1,2.0811539071168172,123.0,4,4.75,6,30,5,41.81754,-87.61305,34
3,0,6,2.0,260.0,237,4.7,5,1,32,41.91306,-87.66797,92
