,type,rating,review_count,lat,lon,category,price
62,2,4.5,551,41.88698,-87.65119,122,2
63,2,4.5,366,41.883835,-87.6372458,197,-1
64,2,4.5,30,41.91716335791234,-87.70767779475786,47,-1
65,2,4.0,255,41.91021,-87.682878,81,1
66,2,4.5,470,41.8958251,-87.6703764,228,1
67,2,4.0,746,41.909487,-87.677293,208,1
68,2,5.0,13,41.86857605,-87.62597656,44,-1
69,2,4.5,1341,41.88991208110913,-87.63036447055225,122,1
70,2,4.5,1716,41.9135158,-87.6480859,158,3
71,2,4.5,400,41.88939,-87.63524,122,2
72,2,4.0,246,41.89610667,-87.67786167,51,1
73,2,4.0,797,41.9034461975098,-87.6799240112305,6,1
74,2,4.5,164,41.92396,-87.69839,228,1
75,2,4.5,200,41.89609753853198,-87.66587719325405,39,1
76,2,4.5,2385,41.9151045993531,-87.6846393244315,133,1
77,2,4.5,9432,41.884668,-87.62288,167,1
78,2,4.0,728,41.90346,-87.67411,158,1
79,2,4.5,427,41.853511,-87.632959,219,1
80,2,4.0,1127,41.90708880046081,-87.67210403709154,11,1
81,2,4.0,567,41.88491,-87.66036,158,1
82,2,4.0,389,41.9271457780326,-87.703986418801,11,1
83,2,4.5,112,41.934138,-87.64626,228,1
84,2,4.5,926,41.85357,-87.64621,35,1
85,2,4.0,497,41.91962,-87.69705,16,1
86,2,4.5,119,41.93589,-87.66294,92,2
87,2,4.5,1527,41.85505,-87.63219,17,1
88,2,4.5,6,41.92480728796446,-87.64730519999999,92,-1
89,2,5.0,36,41.90252543864915,-87.66536544877775,189,-1
90,2,4.5,11,41.856734,-87.63923,246,-1
91,2,5.0,20,41.92604603922729,-87.6685351,54,-1
92,2,4.5,230,41.90671,-87.67125,31,1
93,2,4.5,30,41.884803579680366,-87.6629466,92,-1
94,2,4.5,53,41.90238,-87.69656,53,-1
95,2,4.0,314,41.90975,-87.6778099,11,1
96,2,4.0,716,41.9206132,-87.6933394,139,1
97,2,4.5,118,41.9028282165527,-87.6807403564453,53,1
98,2,4.5,397,41.9429574,-87.7203016,6,1
99,2,4.5,14,41.90009,-87.68733,117,-1
100,2,5.0,78,41.92444881268258,-87.7196712576434,193,0
101,2,4.5,80,41.9062306,-87.6713937,116,2
102,2,4.0,489,41.91775,-87.695965,150,1
103,2,4.5,343,41.90286,-87.67935,228,1
104,2,4.5,202,41.85907,-87.72052,206,-1
105,2,4.5,25,41.91018,-87.6767,114,-1
106,2,4.5,7,41.92045328414752,-87.64892175793648,158,-1
107,2,5.0,126,41.92522,-87.68845,51,-1
108,2,4.0,1196,41.887957929885,-87.6321899243637,234,1
109,2,4.0,739,41.885851,-87.649086,173,2
110,2,5.0,45,41.85803128798182,-87.65953999999999,222,1
111,2,4.0,9,41.903512007398334,-87.6717396453023,158,-1
112,2,5.0,10,41.856573,-87.638398,51,-1
113,2,4.0,3867,41.89026241296157,-87.63074664896239,11,1
114,2,4.5,212,41.94349,-87.67942,228,1
115,2,4.5,391,41.8909516,-87.6161529,144,1
116,2,4.5,251,41.94008,-87.66026,81,1
117,2,4.5,36,41.89051397920555,-87.65917619999999,197,-1
118,2,4.5,180,41.89637,-87.66477,130,3
119,2,4.0,255,41.8803115441906,-87.6669892108769,130,1
